               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025262,           0.0076872,           0.0040431,             0.97688,             0.85922,             0.95672,             0.70049,            0.014234,           0.0030878,           0.0047459,           0.0093268,           0.0093268,           0.0093268
                  36,            0.025408,           0.0074005,           0.0034495,             0.99553,             0.86386,             0.96275,             0.69509,            0.015359,            0.003022,            0.006213,            0.009307,            0.009307,            0.009307
                  37,            0.025598,           0.0075396,           0.0037411,             0.95923,             0.96242,             0.98987,             0.79432,            0.013306,           0.0034094,          0.00071955,           0.0092872,           0.0092872,           0.0092872
                  38,            0.025021,           0.0075244,           0.0045971,             0.99077,             0.95342,             0.98652,              0.7754,            0.013379,           0.0034027,           0.0006443,           0.0092674,           0.0092674,           0.0092674
                  39,            0.024884,           0.0073154,           0.0033799,             0.98819,                   1,               0.995,             0.78304,            0.011123,           0.0027876,          0.00065703,           0.0092476,           0.0092476,           0.0092476
                  40,             0.02415,            0.007616,           0.0033004,             0.90194,             0.88482,             0.98541,             0.74213,            0.014465,            0.003129,           0.0076515,           0.0092278,           0.0092278,           0.0092278
                  41,             0.02461,           0.0071625,           0.0030391,             0.94092,             0.97276,               0.995,             0.82471,            0.011746,            0.003778,           0.0011473,            0.009208,            0.009208,            0.009208
                  42,            0.024429,            0.006508,           0.0026093,             0.98273,                   1,               0.995,             0.80148,            0.013733,           0.0027518,          0.00062056,           0.0091882,           0.0091882,           0.0091882
                  43,            0.024673,           0.0073068,           0.0029616,             0.98705,             0.98109,               0.995,             0.79345,            0.012364,           0.0032322,          0.00078335,           0.0091684,           0.0091684,           0.0091684
                  44,            0.023272,           0.0069456,           0.0035835,              0.8768,              0.8285,             0.92374,             0.71729,            0.012947,           0.0031703,            0.010776,           0.0091486,           0.0091486,           0.0091486
                  45,            0.024395,           0.0070935,           0.0026961,             0.95962,             0.98417,             0.99143,             0.80919,            0.010384,           0.0029516,          0.00078807,           0.0091288,           0.0091288,           0.0091288
                  46,            0.022761,           0.0069969,           0.0031021,             0.99455,             0.94671,             0.98833,             0.83406,             0.01085,           0.0027184,          0.00095844,            0.009109,            0.009109,            0.009109
                  47,            0.022956,           0.0069891,           0.0029653,             0.98663,             0.97436,             0.99333,             0.80167,            0.012279,           0.0027022,           0.0016491,           0.0090892,           0.0090892,           0.0090892
                  48,            0.023203,             0.00697,           0.0028184,             0.98543,                   1,               0.995,             0.81493,            0.010582,            0.002502,          0.00070953,           0.0090694,           0.0090694,           0.0090694
                  49,            0.023303,           0.0065421,           0.0029046,              0.9594,                   1,             0.99143,              0.8043,            0.011087,           0.0025787,          0.00058937,           0.0090496,           0.0090496,           0.0090496
                  50,            0.022987,           0.0069977,           0.0029586,              0.9677,                   1,             0.98238,              0.7843,            0.013524,           0.0025792,          0.00068965,           0.0090298,           0.0090298,           0.0090298
                  51,            0.021954,           0.0071363,           0.0029898,             0.98576,                   1,               0.995,             0.85389,            0.010716,           0.0024521,          0.00060983,             0.00901,             0.00901,             0.00901
                  52,            0.021273,           0.0069086,           0.0028325,             0.98304,                   1,               0.995,             0.85031,            0.009856,           0.0022731,          0.00071125,           0.0089902,           0.0089902,           0.0089902
                  53,            0.022326,           0.0067787,            0.002573,             0.96066,                   1,               0.995,             0.83327,            0.011606,           0.0022821,           0.0010958,           0.0089704,           0.0089704,           0.0089704
                  54,             0.02217,           0.0065062,            0.002147,             0.99171,                   1,               0.995,             0.80788,            0.012402,           0.0024264,           0.0007164,           0.0089506,           0.0089506,           0.0089506
                  55,            0.022363,           0.0064173,            0.002338,             0.92319,              0.9733,             0.99333,             0.87822,              0.0096,           0.0023384,           0.0039631,           0.0089308,           0.0089308,           0.0089308
                  56,            0.021521,           0.0065628,           0.0022252,             0.99034,                   1,               0.995,             0.85116,            0.010216,           0.0023229,          0.00074272,            0.008911,            0.008911,            0.008911
                  57,             0.02044,           0.0065408,           0.0028093,             0.98633,                   1,               0.995,             0.84593,           0.0096323,           0.0020604,          0.00066133,           0.0088912,           0.0088912,           0.0088912
                  58,             0.02156,           0.0065805,           0.0034377,             0.99126,             0.99844,               0.995,               0.839,            0.010294,           0.0021553,          0.00060353,           0.0088714,           0.0088714,           0.0088714
                  59,            0.020748,           0.0061841,           0.0027784,             0.98429,                   1,               0.995,              0.8367,            0.010092,           0.0023508,          0.00051556,           0.0088516,           0.0088516,           0.0088516
                  60,            0.021398,           0.0065842,           0.0023867,             0.99028,                   1,               0.995,             0.78048,            0.013471,           0.0024424,          0.00053215,           0.0088318,           0.0088318,           0.0088318
                  61,            0.022108,           0.0063602,           0.0035128,             0.98262,             0.95911,             0.99333,             0.82365,            0.011353,           0.0026872,            0.000631,            0.008812,            0.008812,            0.008812
                  62,            0.021637,           0.0066321,           0.0019831,             0.94571,             0.96759,             0.99042,             0.81555,            0.011819,           0.0028832,          0.00075846,           0.0087922,           0.0087922,           0.0087922
                  63,            0.022799,           0.0066503,           0.0033342,             0.98179,             0.97424,             0.99333,             0.79538,            0.012001,           0.0027626,          0.00054288,           0.0087724,           0.0087724,           0.0087724
                  64,            0.020318,           0.0062898,           0.0022049,             0.98792,             0.98856,               0.995,              0.8067,            0.011968,           0.0026591,          0.00056934,           0.0087526,           0.0087526,           0.0087526
                  65,              0.0199,            0.006434,           0.0021989,             0.98802,                   1,               0.995,             0.85381,           0.0092156,           0.0024626,          0.00059223,           0.0087328,           0.0087328,           0.0087328
                  66,            0.019841,           0.0065482,            0.002695,             0.96764,             0.98909,               0.995,             0.82913,             0.01017,           0.0023217,           0.0019815,            0.008713,            0.008713,            0.008713
                  67,            0.019941,           0.0063591,           0.0017846,             0.99071,                   1,               0.995,              0.8521,           0.0098182,           0.0022306,          0.00064974,           0.0086932,           0.0086932,           0.0086932
                  68,            0.019851,           0.0058484,           0.0026768,              0.9937,                   1,               0.995,               0.786,              0.0138,           0.0024986,          0.00055132,           0.0086734,           0.0086734,           0.0086734
                  69,            0.019411,           0.0062124,           0.0034394,              0.9907,             0.99562,               0.995,             0.85088,            0.010387,           0.0023232,          0.00046878,           0.0086536,           0.0086536,           0.0086536
                  70,            0.020582,           0.0064949,            0.002892,             0.98965,             0.99938,               0.995,             0.85194,           0.0099587,           0.0023751,          0.00059438,           0.0086338,           0.0086338,           0.0086338
                  71,            0.020111,           0.0062711,           0.0021413,             0.99354,                   1,               0.995,             0.84039,            0.010011,            0.002228,          0.00065775,            0.008614,            0.008614,            0.008614
                  72,            0.020628,           0.0064907,           0.0026664,             0.99064,                   1,               0.995,             0.84243,            0.010378,           0.0023773,          0.00057063,           0.0085942,           0.0085942,           0.0085942
                  73,            0.020103,             0.00642,           0.0022692,             0.98781,             0.98052,               0.995,             0.79286,            0.011586,           0.0025957,          0.00051198,           0.0085744,           0.0085744,           0.0085744
