               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.018479,            0.010226,           0.0019095,             0.98632,             0.93746,             0.96811,             0.85364,            0.012182,           0.0053449,           0.0022426,           0.0091585,           0.0091585,           0.0091585
                  36,            0.018567,             0.01005,           0.0019904,              0.9857,             0.94188,             0.97416,             0.86815,            0.011942,           0.0054674,            0.002036,           0.0091337,           0.0091337,           0.0091337
                  37,            0.018549,            0.010317,           0.0018009,             0.98331,              0.9282,             0.97484,             0.84441,            0.012723,            0.005733,           0.0022988,            0.009109,            0.009109,            0.009109
                  38,             0.01835,            0.010304,            0.002028,             0.98897,             0.95053,             0.97195,             0.85825,            0.012055,           0.0055275,           0.0016454,           0.0090843,           0.0090843,           0.0090843
                  39,             0.01804,           0.0099357,           0.0017915,             0.98262,             0.92494,             0.97278,             0.86181,             0.01159,           0.0054798,           0.0025676,           0.0090595,           0.0090595,           0.0090595
                  40,            0.017727,           0.0099404,           0.0019531,             0.99378,             0.94896,             0.97261,             0.85631,            0.011523,           0.0054774,           0.0016446,           0.0090347,           0.0090347,           0.0090347
                  41,            0.017289,            0.010008,           0.0018677,             0.96765,             0.93797,             0.97205,             0.86033,            0.011571,           0.0054231,           0.0035735,             0.00901,             0.00901,             0.00901
                  42,            0.017136,           0.0099064,           0.0020305,             0.98754,             0.92509,              0.9708,             0.85925,            0.011468,           0.0055528,           0.0031008,           0.0089853,           0.0089853,           0.0089853
                  43,            0.017146,           0.0095503,           0.0016297,             0.98135,             0.95083,             0.97695,              0.8662,            0.011627,           0.0054173,           0.0022205,           0.0089605,           0.0089605,           0.0089605
                  44,            0.016802,           0.0096222,           0.0015765,             0.99247,             0.93465,             0.96816,             0.87228,            0.011156,           0.0053005,           0.0020565,           0.0089358,           0.0089358,           0.0089358
                  45,            0.017356,           0.0094252,           0.0016905,             0.98063,             0.94898,             0.97678,             0.85861,            0.011655,           0.0054245,           0.0023073,            0.008911,            0.008911,            0.008911
                  46,            0.016859,            0.009627,           0.0017083,             0.98093,              0.9606,             0.97662,             0.87758,            0.010706,           0.0052953,           0.0022727,           0.0088863,           0.0088863,           0.0088863
                  47,            0.017068,           0.0097426,           0.0016309,             0.98789,             0.94014,             0.97038,             0.85607,            0.011681,           0.0053759,           0.0017701,           0.0088615,           0.0088615,           0.0088615
                  48,            0.017018,           0.0095348,           0.0017431,             0.96965,             0.94973,             0.97472,             0.87068,            0.010614,           0.0052743,           0.0023639,           0.0088368,           0.0088368,           0.0088368
                  49,            0.016885,            0.009507,           0.0018697,             0.98924,             0.95051,             0.97588,              0.8619,            0.011603,           0.0052805,           0.0016247,            0.008812,            0.008812,            0.008812
                  50,            0.016142,           0.0093731,           0.0014973,             0.98171,             0.95541,             0.97358,              0.8745,            0.011006,           0.0051541,           0.0019023,           0.0087872,           0.0087872,           0.0087872
                  51,            0.016622,           0.0091931,           0.0014429,             0.98464,             0.94964,             0.97081,             0.87256,            0.010541,           0.0051498,           0.0019867,           0.0087625,           0.0087625,           0.0087625
                  52,              0.0159,           0.0091517,           0.0017201,              0.9928,             0.93689,              0.9672,             0.87354,            0.010292,           0.0052958,           0.0021629,           0.0087378,           0.0087378,           0.0087378
                  53,            0.015997,           0.0092099,           0.0016125,             0.98413,             0.95428,             0.97109,             0.87802,            0.010401,           0.0051622,           0.0023568,            0.008713,            0.008713,            0.008713
                  54,            0.016415,           0.0093468,           0.0017508,             0.99206,             0.95001,             0.96839,             0.87945,            0.010303,           0.0053539,           0.0014939,           0.0086882,           0.0086882,           0.0086882
                  55,            0.015487,           0.0090673,           0.0017159,             0.99201,             0.94647,             0.96728,             0.87962,            0.010466,           0.0051246,           0.0015568,           0.0086635,           0.0086635,           0.0086635
                  56,            0.015688,           0.0092921,           0.0014604,             0.99277,             0.94337,             0.97483,             0.88053,            0.010177,           0.0050969,            0.001283,           0.0086388,           0.0086388,           0.0086388
                  57,            0.016002,           0.0089456,           0.0012886,             0.97388,             0.95738,             0.97268,             0.87614,            0.010803,           0.0050759,           0.0016203,            0.008614,            0.008614,            0.008614
                  58,            0.016196,           0.0093046,           0.0014473,             0.99438,             0.93255,             0.97502,             0.89058,           0.0098998,           0.0051141,            0.001866,           0.0085893,           0.0085893,           0.0085893
                  59,             0.01546,           0.0088821,           0.0014839,             0.97938,             0.94863,             0.97195,             0.89065,           0.0098382,           0.0051341,           0.0020835,           0.0085645,           0.0085645,           0.0085645
                  60,            0.015513,           0.0091158,           0.0015682,             0.98596,              0.9377,             0.97116,             0.88281,           0.0099002,           0.0050359,           0.0022772,           0.0085398,           0.0085398,           0.0085398
                  61,             0.01542,           0.0087051,           0.0016328,             0.98819,             0.92893,              0.9734,             0.89111,           0.0098826,           0.0050063,           0.0020705,            0.008515,            0.008515,            0.008515
                  62,            0.015582,           0.0089527,           0.0015813,             0.97472,             0.94822,             0.97211,              0.8865,           0.0096977,           0.0049224,           0.0016424,           0.0084903,           0.0084903,           0.0084903
                  63,            0.015694,           0.0089265,           0.0014415,             0.96249,             0.95817,             0.97511,             0.88777,           0.0098945,           0.0050297,           0.0018077,           0.0084655,           0.0084655,           0.0084655
                  64,            0.015324,           0.0090525,           0.0014385,             0.98169,             0.95549,             0.98057,              0.8918,           0.0097606,           0.0047917,           0.0015131,           0.0084408,           0.0084408,           0.0084408
                  65,            0.014496,           0.0087809,            0.001396,             0.97416,             0.95788,             0.97678,              0.8872,            0.009621,            0.004931,           0.0018343,            0.008416,            0.008416,            0.008416
                  66,            0.015443,           0.0090002,           0.0014797,             0.97969,             0.95541,             0.97518,              0.8912,           0.0099347,           0.0049295,            0.001205,           0.0083913,           0.0083913,           0.0083913
                  67,            0.015445,           0.0086905,           0.0012675,             0.97125,             0.95757,              0.9716,             0.87925,           0.0097985,           0.0049343,            0.001799,           0.0083665,           0.0083665,           0.0083665
                  68,            0.014527,           0.0086552,           0.0015119,              0.9831,             0.96308,             0.97981,             0.89789,            0.009516,           0.0047202,           0.0014316,           0.0083418,           0.0083418,           0.0083418
                  69,             0.01433,           0.0086244,            0.001317,             0.98719,             0.95295,             0.97844,             0.90232,           0.0090958,           0.0046663,           0.0014535,            0.008317,            0.008317,            0.008317
                  70,            0.014934,           0.0087536,           0.0011631,             0.99049,             0.94289,             0.97349,             0.88305,           0.0095409,           0.0048995,            0.001823,           0.0082922,           0.0082922,           0.0082922
                  71,            0.015133,            0.008922,            0.001376,             0.98659,             0.95414,             0.97356,             0.89095,           0.0092337,           0.0047545,           0.0015161,           0.0082675,           0.0082675,           0.0082675
                  72,            0.014295,            0.008697,           0.0014332,             0.98225,             0.95403,             0.97928,             0.90308,             0.00917,           0.0045943,           0.0017041,           0.0082428,           0.0082428,           0.0082428
                  73,            0.014879,           0.0088312,           0.0013539,             0.96867,             0.95726,             0.97585,             0.89005,           0.0092797,           0.0048027,           0.0023296,            0.008218,            0.008218,            0.008218
                  74,             0.01423,           0.0083949,            0.001256,             0.97848,             0.94449,             0.97499,             0.88796,           0.0093415,           0.0047164,           0.0019972,           0.0081932,           0.0081932,           0.0081932
                  75,            0.014607,           0.0085065,           0.0012645,             0.98296,             0.95446,             0.97384,             0.89356,            0.009364,           0.0048089,           0.0020708,           0.0081685,           0.0081685,           0.0081685
                  76,            0.014121,           0.0086251,           0.0014163,             0.98868,             0.93945,             0.96846,             0.89583,           0.0092493,           0.0046072,           0.0021288,           0.0081437,           0.0081437,           0.0081437
                  77,             0.01405,           0.0084997,           0.0013409,             0.98918,             0.94747,             0.96934,             0.89444,           0.0092325,           0.0046186,           0.0018413,            0.008119,            0.008119,            0.008119
                  78,            0.014401,           0.0084227,           0.0012935,             0.96676,             0.94178,             0.97077,             0.89572,           0.0092629,           0.0046639,           0.0026122,           0.0080942,           0.0080942,           0.0080942
                  79,            0.014009,           0.0086502,           0.0013367,             0.97765,             0.95721,             0.97716,              0.8996,           0.0093186,           0.0046606,           0.0016481,           0.0080695,           0.0080695,           0.0080695
                  80,            0.014168,           0.0084709,           0.0010832,             0.98275,             0.96148,             0.97638,             0.89375,           0.0089992,           0.0047283,           0.0016227,           0.0080447,           0.0080447,           0.0080447
                  81,            0.013878,           0.0085464,           0.0012093,             0.98018,             0.94902,             0.97658,              0.9029,           0.0086869,           0.0045547,           0.0018823,             0.00802,             0.00802,             0.00802
                  82,            0.014148,           0.0085272,           0.0013421,             0.97914,             0.94895,              0.9761,             0.89959,           0.0088425,           0.0045609,           0.0016289,           0.0079953,           0.0079953,           0.0079953
