               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035151,             0.01972,           0.0046951,             0.82907,                   1,               0.995,             0.64675,            0.022238,           0.0023196,           0.0016515,           0.0091337,           0.0091337,           0.0091337
                  37,            0.032803,            0.019723,           0.0053094,             0.83032,                   1,               0.995,             0.74625,            0.019282,           0.0022876,           0.0015604,            0.009109,            0.009109,            0.009109
                  38,            0.034041,            0.016733,           0.0042262,             0.90928,                   1,               0.995,              0.6965,            0.015836,           0.0018408,           0.0015656,           0.0090843,           0.0090843,           0.0090843
                  39,            0.032346,             0.01931,            0.004612,             0.95953,                   1,               0.995,             0.64675,            0.013937,           0.0018368,           0.0013937,           0.0090595,           0.0090595,           0.0090595
                  40,            0.031086,            0.017874,           0.0040731,             0.95897,                   1,               0.995,              0.8955,            0.010798,           0.0018268,           0.0013772,           0.0090347,           0.0090347,           0.0090347
                  41,            0.031618,            0.019899,           0.0035986,             0.95734,                   1,               0.995,             0.58042,            0.019767,           0.0023532,           0.0013597,             0.00901,             0.00901,             0.00901
                  42,            0.029379,            0.017661,           0.0041021,             0.73205,                   1,               0.995,             0.62187,            0.021381,           0.0024409,           0.0013498,           0.0089853,           0.0089853,           0.0089853
                  43,            0.031024,            0.019277,           0.0039375,             0.96064,                   1,               0.995,               0.796,            0.018199,           0.0017877,           0.0015295,           0.0089605,           0.0089605,           0.0089605
                  44,            0.030942,            0.016317,           0.0038787,             0.96052,                   1,               0.995,               0.796,            0.018241,           0.0017583,            0.001399,           0.0089358,           0.0089358,           0.0089358
                  45,            0.030631,            0.017203,           0.0042779,             0.91855,                   1,               0.995,              0.6965,             0.02065,           0.0017707,           0.0012305,            0.008911,            0.008911,            0.008911
                  46,            0.028056,            0.015057,            0.003942,             0.94953,                   1,               0.995,               0.796,            0.019035,           0.0017078,           0.0013378,           0.0088863,           0.0088863,           0.0088863
